Visa Type,Category,Purpose / Use Case,Visa Fee,Mapped Categories Array,Currency,Source_Country,Mapped Categories Array (Cleaned)
Short-stay Schengen Visa,Tourism/Business,"Tourism, business, family visits ≤90 days",80,"['Tourism & Sightseeing', ’Business', 'Family / Friends-related']",EUR,France,"['Tourism & Sightseeing', 'Business', 'Family / Friends-related']"
Airport Transit Visa (Type A),Transit,Transit through French international airports,80,['Transit'],EUR,France,['Transit']
Short-stay Overseas Visa,Tourism/Business,"Travel to French overseas territories (e.g. Réunion, Martinique)",80,"['Tourism & Sightseeing’, 'Family / Friends-related’]",EUR,France,"['Tourism & Sightseeing', 'Family / Friends-related']"
Long-stay Visa (Type D),,"Stay >90 days (work, study, family reunification)",99,"['Family / Friends-related', 'Study', 'Work/Employment']",EUR,France,"['Family / Friends-related', 'Study', 'Work/Employment']"
Student Visa (Long-stay),Study,University or higher education >90 days,99,['Study'],EUR,France,['Study']
Temporary Long-stay Visa (VLS-T),Tourism/Business,4–6 month temporary stays (e.g. second home visits),99,['Family / Friends-related'],EUR,France,['Family / Friends-related']
Working Holiday Visa,Work,Work + travel for young adults (reciprocal agreements),99,"['Tourism & Sightseeing', 'Work/Employment']",EUR,France,"['Tourism & Sightseeing', 'Work/Employment']"
Talent Passport,Work,"For highly skilled professionals, researchers, artists",99,['Work/Employment'],EUR,France,['Work/Employment']
EntreprenVisa,Work,Starting a business or self-employment in France,99,"['Business', 'Work/Employment']",EUR,France,"['Business', 'Work/Employment']"
Scientific/Research Visa,Work,Participation in academic or scientific programs,99,"['Study', 'Work/Employment']",EUR,France,"['Study', 'Work/Employment']"
Volunteer/Exchange Program Visa,Exchange,"Cultural, humanitarian, youth programs",99,"['Cultural Exchange', 'Asylum/Humanitarian']",EUR,France,"['Cultural Exchange', 'Asylum/Humanitarian']"
Family/Spouse of EU National,,Joining a French or EU citizen,Free or 99 depending on status,['Family / Friends-related'],EUR,France,['Family / Friends-related']
Airport Transit Visa,Transit,Changing planes in Germany without entering the country,90.0,['Transit'],EUR,Germany,['Transit']
Student Visa,Study,Academic degree program at a German university,75.0,['Study'],EUR,Germany,['Study']
Language Course Visa,Study,Intensive German language learning (3–12 months),75.0,['Study'],EUR,Germany,['Study']
Job Seeker Visa,Work,Search for employment while in Germany (up to 6 months),75.0,['Work/Employment'],EUR,Germany,['Work/Employment']
Work Visa,Work,Job offer with German employer in approved field,75.0,['Work/Employment'],EUR,Germany,['Work/Employment']
EU Blue Card,Skilled Workers,Highly skilled professionals with university degree,75.0,"['Study', 'Work/Employment']",EUR,Germany,"['Study', 'Work/Employment']"
